sampleid	sampleid	sample_type	Nest_id	Larvae_size	Cell_ID	Negative_control	Description_of_sample	Env_exposure	AB_treatment	Year	Sample	AVG_CTscore	logDNA	Gender											
EW-1	1	Negative_control	NA	NA	NA	FALSE	Sample_control	NA	NA	2022		NA	NA	NA											
EW-2	2	Nest_contents	4	NA	A	FALSE	Wall	NA	NA	2022		NA	NA	NA											
EW-5	5	Prepupae	4	7	D	FALSE	Larvae	NA	NA	2022		NA	NA	NA											
EW-6	6	Nest_contents	4	NA	D	FALSE	PinkCocoon	NA	NA	2022		NA	NA	NA											
EW-7	7	Nest_contents	4	NA	D	FALSE	PinkCocoonFrass	NA	NA	2022		NA	NA	NA											
EW-9	9	Prepupae	4	7	F	FALSE	Larvae	NA	NA	2022		NA	NA	NA											
EW-10	10	Nest_contents	4	NA	F	FALSE	Frass	NA	NA	2022		NA	NA	NA											
EW-11	11	Prepupae	4	6	G	FALSE	Larvae	NA	NA	2022		NA	NA	NA											
EW-12	12	Nest_contents	4	NA	G	FALSE	PinkCocoonFrassWall	NA	NA	2022		NA	NA	NA											
EW-13	13	Prepupae	4	6	H	FALSE	Larvae	NA	NA	2022		NA	NA	NA											
EW-14	14	Nest_contents	4	NA	H	FALSE	CocoonFrass	NA	NA	2022		NA	NA	NA											
EW-15	15	Prepupae	4	5	I	FALSE	Larvae	NA	NA	2022		NA	NA	NA											
EW-16	16	Nest_contents	4	NA	I	FALSE	CocoonFrass	NA	NA	2022		NA	NA	NA											
EW-17	17	Nest_contents	4	NA	I	FALSE	PinkCocoonFrassWall	NA	NA	2022		NA	NA	NA											
EW-20	20	Nest_contents	6	NA	A	FALSE	CocoonFrass	NA	NA	2022		NA	NA	NA											
EW-21	21	Prepupae	6	7	B	FALSE	Larvae	NA	NA	2022		NA	NA	NA											
EW-22	22	Nest_contents	6	NA	B	FALSE	PinkCocoon	NA	NA	2022		NA	NA	NA											
EW-23	23	Prepupae	6	7	C	FALSE	Larvae	NA	NA	2022		NA	NA	NA											
EW-24	24	Prepupae	6	6	D	FALSE	Larvae	NA	NA	2022		NA	NA	NA											
EW-25	25	Nest_contents	6	NA	D	FALSE	PinkCocoon	NA	NA	2022		NA	NA	NA											
EW-26	26	Prepupae	6	6	E	FALSE	Larvae	NA	NA	2022		NA	NA	NA											
EW-27	27	Nest_contents	6	NA	E	FALSE	PinkCocoonFrass	NA	NA	2022		NA	NA	NA											
EW-28	28	Prepupae	6	6	F	FALSE	Larvae	NA	NA	2022		NA	NA	NA											
EW-30	30	Food	7	NA	E	FALSE	Pollen	NA	NA	2022		NA	NA	NA											
EW-31	31	Negative_control	NA	NA	NA	FALSE	Sample_control	NA	NA	2022		NA	NA	NA											
EW-33	33	Nest_contents	5	NA	A	FALSE	Cocoon	NA	NA	2022		NA	NA	NA											
EW-34	34	Larvae	5	6	B	FALSE	Larvae	NA	NA	2022		NA	NA	NA											
EW-35	35	Food	5	NA	B	FALSE	Pollen_provision	NA	NA	2022		NA	NA	NA											
EW-36	36	Nest_contents	5	NA	B	FALSE	Wall	NA	NA	2022		NA	NA	NA											
EW-37	37	Larvae	5	5	C	FALSE	Larvae	NA	NA	2022		NA	NA	NA											
EW-38	38	Food	5	NA	C	FALSE	Pollen_provision	NA	NA	2022		NA	NA	NA											
EW-39	39	Larvae	5	4	D	FALSE	Larvae	NA	NA	2022		NA	NA	NA											
EW-40	40	Food	5	NA	D	FALSE	Pollen_provision	NA	NA	2022		NA	NA	NA											
EW-41	41	Food	5	NA	E	FALSE	Pollen_provision	NA	NA	2022		NA	NA	NA											
EW-42	42	Food	5	NA	F	FALSE	Pollen_provision	NA	NA	2022		NA	NA	NA											
EW-43	43	Food	5	NA	G	FALSE	Pollen_provision	NA	NA	2022		NA	NA	NA											
EW-44	44	Food	5	NA	H	FALSE	Pollen_provision	NA	NA	2022		NA	NA	NA											
EW-45	45	Food	5	NA	I	FALSE	Pollen_provision	NA	NA	2022		NA	NA	NA											
EW-46	46	Eggs	5	NA	I	FALSE	Eggs	NA	NA	2022		NA	NA	NA											
EW-EBC1	EBC1	Negative_control	NA	NA	NA	TRUE	EBC	NA	NA	2022	1	28.229	2.309501986	NA											
EW-48	48	Eggs	5	NA	J	FALSE	Eggs	NA	NA	2022		NA	NA	NA											
EW-50	50	Eggs	5	NA	K	FALSE	Eggs	NA	NA	2022		NA	NA	NA											
EW-90	90	Adults	5	NA	NA	FALSE	Adults	Free-flying	NA	2022	42	19.703	4.914451573	Female											
EW-47	47	Food	5	NA	J	FALSE	Pollen_provision	NA	NA	2022	97	14.82	6.406355026	NA											
EW-49	49	Food	5	NA	K	FALSE	Pollen_provision	NA	NA	2022	99	16.091	6.018026276	NA											
EW-51	51	Adults	13	NA	NA	FALSE	Adults	Free-flying	NA	2022		NA	NA	Female											
EW-52	52	Prepupae	13	8	A	FALSE	Larvae	NA	NA	2022		NA	NA	NA											
EW-53	53	Food	13	NA	A	FALSE	Pollen	NA	NA	2022		NA	NA	NA											
EW-54	54	Nest_contents	13	NA	A	FALSE	CocoonFrassPollen	NA	NA	2022		NA	NA	NA											
EW-55	55	Larvae	13	5	B	FALSE	Larvae	NA	NA	2022		NA	NA	NA											
EW-56	56	Food	13	NA	B	FALSE	Pollen_provision	NA	NA	2022		NA	NA	NA											
EW-57	57	Food	13	NA	C	FALSE	Pollen_provision	NA	NA	2022		NA	NA	NA											
EW-58	58	Larvae	13	4	C	FALSE	Larvae	NA	NA	2022		NA	NA	NA											
EW-59	59	Food	13	NA	D	FALSE	Pollen_provision	NA	NA	2022		NA	NA	NA											
EW-60	60	Larvae	13	2	D	FALSE	Larvae	NA	NA	2022		NA	NA	NA											
EW-61	61	Food	13	NA	E	FALSE	Pollen	NA	NA	2022		NA	NA	NA											
EW-62	62	Eggs	13	NA	F	FALSE	Eggs	NA	NA	2022		NA	NA	NA											
EW-EBC6	EBC6	Negative_control	NA	NA	NA	TRUE	EBC	NA	NA	2022	31	28.087	2.352887259	NA											
EW-64	64	Eggs	13	NA	G	FALSE	Eggs	NA	NA	2022		NA	NA	NA											
